No.,Object Name,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
468,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121639.95-115848.7</a>",184.166500,-11.980028,G,69822,0.232900,UUN,4,0,39,4,2,0,0,0,0,0
469,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216401-1202352</a>",184.166875,-12.043111,G,240494,0.802200,UUN,9,0,17,2,2,0,0,0,0,0
470,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216402-1201593</a>",184.167458,-12.033139,G,103818,0.346300,UUN,6,0,17,2,2,0,0,0,0,0
471,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216403-1158198</a>",184.167792,-11.972167,G,199512,0.665500,UUN,4,0,17,2,2,0,0,0,0,0
472,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216403-1202029</a>",184.167792,-12.034139,G,239114,0.797600,UUN,8,0,17,2,2,0,0,0,0,0
473,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216403-1158254</a>",184.168000,-11.973722,G,81933,0.273300,UUN,5,0,17,2,2,0,0,0,0,0
474,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216403-1202014</a>",184.168042,-12.033722,G,238995,0.797200,UUN,6,0,17,2,2,0,0,0,0,0
475,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121640.40-115828.3</a>",184.168125,-11.974361,G,82113,0.273900,UUN,4,0,39,4,2,0,0,0,0,0
476,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121640.64-120343.9</a>",184.169583,-12.062222,G,237735,0.793000,UUN,5,0,33,4,2,0,0,0,0,0
477,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121640.66-120025.5</a>",184.169750,-12.007000,*,,,,3,0,38,3,0,0,0,0,0,0
478,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216409-1202488</a>",184.170458,-12.046889,G,284203,0.948000,UUN,4,0,17,2,2,0,0,0,0,0
479,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216416-1158464</a>",184.173250,-11.979556,G,259141,0.864400,UUN,5,0,25,3,2,0,0,0,0,0
480,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216416-1159308</a>",184.173417,-11.991889,G,322906,1.077100,UUN,4,0,27,3,2,0,0,0,0,0
481,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216417-1203054</a>",184.173750,-12.051500,G,240194,0.801200,UUN,8,0,27,3,2,0,0,0,0,0
482,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121641.65-120044.5</a>",184.173958,-12.012472,G,238845,0.796700,UUN,9,0,40,4,2,0,0,0,0,0
483,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216418-1201373</a>",184.173958,-12.027028,*,,,,3,0,16,1,0,0,0,0,0,0
484,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216419-1202440</a>",184.174625,-12.045556,G,240673,0.802800,UUN,6,0,27,3,2,0,0,0,0,0
485,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216420-1201509</a>",184.175125,-12.030806,G,238065,0.794100,UUN,10,0,18,2,2,0,0,0,0,0
486,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121642.27-115948.6</a>",184.176250,-11.996861,*,,,,3,0,38,3,0,0,0,0,0,0
487,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216424-1202348</a>",184.176833,-12.043000,G,78875,0.263100,UUN,4,0,17,2,2,0,0,0,0,0
488,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121642.78-120339.5</a>",184.178333,-12.060972,G,238485,0.795500,UUN,6,0,39,4,2,0,0,0,0,0
489,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216429-1159536</a>",184.178958,-11.998222,G,238365,0.795100,UUN,7,0,27,3,2,0,0,0,0,0
490,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121642.95-115857.2</a>",184.179042,-11.982556,*,,,,3,0,38,3,0,0,0,0,0,0
491,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216430-1159365</a>",184.179375,-11.993472,G,82743,0.276000,UUN,4,0,24,3,2,0,0,0,0,0
492,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216431-1158113</a>",184.179625,-11.969806,G,317150,1.057900,UUN,4,0,27,3,2,0,0,0,0,0
